CourseID,Title,Credits,DepartmentID,FacultyID,TermID
1,Exclusive multimedia data-warehouse,3,9,42,5
2,Enhanced intangible pricing structure,1,4,36,1
3,Persevering directional definition,3,8,82,5
4,Re-contextualized upward-trending workforce,3,1,64,4
5,Distributed value-added functionalities,3,6,84,2
6,Cloned transitional knowledge user,2,3,65,3
7,Streamlined holistic support,1,8,81,4
8,Face-to-face motivating groupware,2,9,55,2
9,Implemented transitional synergy,3,5,64,3
10,Realigned 3rdgeneration system engine,1,7,90,5
11,Function-based fresh-thinking hierarchy,4,5,57,2
12,Adaptive multi-state toolset,3,3,95,3
13,Grass-roots 4thgeneration software,2,9,73,4
14,Multi-tiered local application,1,1,5,1
15,Reduced zero administration definition,1,3,21,2
16,Extended bi-directional help-desk,1,4,79,5
17,Devolved client-server projection,4,10,93,4
18,Synergistic static migration,1,3,71,5
19,User-friendly attitude-oriented throughput,3,9,88,5
20,Grass-roots foreground strategy,2,10,94,2
21,Innovative foreground Graphical User Interface,2,7,25,4
22,Organic dedicated circuit,2,4,84,2
23,Devolved holistic productivity,4,2,26,1
24,Front-line contextually-based task-force,3,5,35,4
25,Multi-tiered human-resource algorithm,3,2,19,3
26,Devolved holistic implementation,3,7,10,1
27,Re-engineered fresh-thinking synergy,4,4,88,2
28,Quality-focused uniform attitude,1,5,90,2
29,Extended fresh-thinking Internet solution,3,5,27,3
30,Configurable 24hour firmware,2,9,1,4
31,Multi-layered multi-state Graphic Interface,4,10,36,1
32,Synergistic secondary leverage,3,5,59,5
33,Optional executive intranet,1,9,5,1
34,Mandatory web-enabled artificial intelligence,2,1,27,4
35,Integrated even-keeled monitoring,1,2,24,3
36,Object-based maximized Internet solution,1,6,26,1
37,Cross-platform zero-defect Local Area Network,2,7,36,3
38,Intuitive secondary approach,1,4,100,2
39,Reactive non-volatile knowledge user,1,6,24,5
40,Horizontal responsive migration,3,7,64,1
41,Total 5thgeneration approach,1,7,18,3
42,Re-contextualized attitude-oriented open system,1,8,87,5
43,Persevering impactful adapter,2,8,23,2
44,Pre-emptive motivating support,1,8,25,4
45,Upgradable didactic application,1,7,2,4
46,Ergonomic context-sensitive archive,4,9,25,3
47,Compatible heuristic forecast,4,1,37,2
48,Adaptive responsive moderator,2,4,88,2
49,Expanded cohesive service-desk,1,8,91,3
50,Face-to-face full-range encryption,1,2,96,3
51,Reduced eco-centric portal,3,7,43,3
52,Mandatory scalable info-mediaries,1,3,89,1
53,Realigned hybrid hierarchy,3,8,3,3
54,Mandatory eco-centric database,3,5,28,2
55,Intuitive mission-critical system engine,2,2,96,2
56,Organic multi-tasking approach,1,8,64,3
57,Inverse logistical success,1,7,40,5
58,Managed empowering forecast,3,2,18,5
59,Function-based encompassing portal,4,7,83,4
60,User-friendly zero-defect framework,2,4,36,1
61,Upgradable zero administration middleware,2,5,24,4
62,Distributed cohesive time-frame,1,6,31,1
63,Open-architected high-level structure,3,9,40,5
64,Multi-lateral composite open system,4,6,94,4
65,Persistent regional system engine,1,1,71,1
66,Object-based neutral architecture,1,9,96,5
67,Versatile actuating product,4,7,45,1
68,Function-based heuristic encryption,4,5,28,1
69,Reverse-engineered uniform moderator,4,7,45,4
70,Versatile leadingedge adapter,3,6,48,3
71,Visionary zero-defect approach,1,9,96,3
72,Up-sized encompassing groupware,3,4,18,5
73,Persevering local policy,3,5,88,2
74,Secured fault-tolerant array,3,7,28,1
75,Customer-focused bifurcated archive,3,6,64,2
76,Assimilated neutral capacity,3,3,51,5
77,Right-sized systemic infrastructure,2,7,100,1
78,Future-proofed cohesive leverage,4,4,74,2
79,Cross-platform stable structure,4,5,54,1
80,Open-source needs-based strategy,2,7,48,4
81,Proactive clear-thinking secured line,3,9,12,2
82,Advanced bifurcated architecture,3,4,82,5
83,Configurable reciprocal secured line,2,9,18,5
84,Seamless next generation installation,2,9,52,4
85,Reduced needs-based product,4,1,97,3
86,Secured eco-centric initiative,1,6,15,4
87,Front-line intangible firmware,3,5,5,2
88,Sharable tertiary algorithm,1,3,55,3
89,Progressive zero tolerance array,4,10,6,5
90,Reduced context-sensitive encoding,2,6,32,5
91,De-engineered bi-directional algorithm,2,8,61,2
92,Stand-alone executive moderator,4,8,53,5
93,Expanded composite migration,3,6,100,1
94,Enhanced tangible framework,2,10,70,5
95,Profound radical framework,4,3,65,5
96,Programmable content-based access,2,5,30,2
97,Managed uniform definition,3,8,60,5
98,Synchronized impactful capacity,2,6,34,3
99,Assimilated logistical portal,3,1,55,1
100,Balanced fresh-thinking middleware,1,2,11,2
101,Multi-channeled client-server product,1,5,83,4
102,Up-sized static capacity,4,6,10,3
103,Face-to-face 6thgeneration info-mediaries,3,8,44,4
104,Profit-focused user-facing middleware,1,10,93,1
105,Open-architected responsive hierarchy,4,8,65,3
106,Universal optimizing standardization,3,8,91,3
107,Sharable real-time protocol,3,6,69,1
108,Expanded tertiary Graphical User Interface,4,9,94,4
109,Cloned clear-thinking artificial intelligence,4,5,10,2
110,Enhanced didactic Internet solution,3,1,78,2
111,Business-focused empowering algorithm,2,8,80,5
112,Future-proofed coherent model,4,4,86,1
113,Public-key context-sensitive focus group,1,6,36,3
114,Optimized transitional complexity,4,9,36,1
115,Centralized grid-enabled info-mediaries,2,6,15,3
116,Ameliorated empowering success,3,8,72,5
117,Extended tertiary capacity,3,3,14,2
118,Programmable 6thgeneration knowledgebase,3,7,47,2
119,Public-key systematic moratorium,4,3,39,4
120,Object-based fault-tolerant conglomeration,1,7,3,3
121,Devolved local benchmark,3,3,41,4
122,User-centric heuristic secured line,3,3,6,3
123,Fully-configurable interactive synergy,4,9,37,1
124,Multi-tiered mobile access,1,7,58,1
125,Programmable non-volatile hierarchy,4,7,29,5
126,Sharable client-server benchmark,4,7,80,5
127,Fundamental cohesive matrices,2,5,58,3
128,Exclusive contextually-based synergy,4,5,37,4
129,Ergonomic 4thgeneration hub,2,8,85,1
130,Automated upward-trending algorithm,4,4,94,5
131,Universal didactic core,1,1,14,1
132,Ergonomic object-oriented paradigm,1,2,38,2
133,Ergonomic zero-defect core,2,7,58,5
134,Re-engineered systematic circuit,2,2,62,1
135,Front-line value-added help-desk,2,3,55,3
136,Centralized real-time matrices,2,2,21,2
137,Switchable multi-state time-frame,2,1,36,4
138,De-engineered grid-enabled flexibility,1,8,65,2
139,Reverse-engineered holistic help-desk,2,1,9,3
140,Assimilated high-level Graphic Interface,4,3,88,5
141,Optimized mission-critical service-desk,2,1,68,1
